epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.14714553952217102,0.9459459185600281,0.1055276170372963,0.9623451828956604
2,0.13570095598697662,0.9527027010917664,0.09417405724525452,0.9684581160545349
3,0.04191020876169205,0.9797297120094299,0.10624556243419647,0.9678673148155212
4,0.02486477419734001,0.9797297120094299,0.11439348012208939,0.9694125652313232
5,0.023192627355456352,0.9932432174682617,0.11517667770385742,0.968662679195404
6,0.029826035723090172,0.9932432174682617,0.11759103834629059,0.9686853885650635
7,0.010347619652748108,0.9932432174682617,0.13186021149158478,0.9693671464920044
8,0.03127565234899521,0.9864864945411682,0.13125532865524292,0.9693443775177002
9,0.017135072499513626,0.9932432174682617,0.1268751472234726,0.9694352746009827
10,0.02562384121119976,0.9932432174682617,0.12893016636371613,0.9706624150276184
11,0.026765676215291023,0.9932432174682617,0.12999090552330017,0.9701625108718872
12,0.0006898926803842187,1.0,0.12693198025226593,0.9715713858604431
13,0.00026663808966986835,1.0,0.1262095719575882,0.9714123606681824
14,0.005899238865822554,1.0,0.13312064111232758,0.970639705657959
15,0.0005187697242945433,1.0,0.13508589565753937,0.9724576473236084
16,0.007500371430069208,1.0,0.1406591385602951,0.970889687538147
17,0.005355074070394039,1.0,0.14478428661823273,0.970639705657959
18,0.0011050383327528834,1.0,0.13810867071151733,0.9705715179443359
19,0.00290788640268147,1.0,0.13220180571079254,0.9728212952613831
20,0.0009691250161267817,1.0,0.15233346819877625,0.9724122285842896
