epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.3086715638637543,0.8783783912658691,0.3502466678619385,0.8449040055274963
2,0.1704978495836258,0.9459459185600281,0.3057103455066681,0.8778093457221985
3,0.2532288432121277,0.8918918967247009,0.3329008221626282,0.8691285252571106
4,0.19620336592197418,0.9391891956329346,0.3467243015766144,0.8728326559066772
5,0.10081322491168976,0.9797297120094299,0.33871662616729736,0.8926712870597839
6,0.05364970862865448,0.9864864945411682,0.48133090138435364,0.8767412900924683
7,0.03276611119508743,0.9932432174682617,0.39014187455177307,0.8920122981071472
8,0.02655399590730667,0.9864864945411682,0.4088493883609772,0.8921486139297485
9,0.0369793139398098,0.9797297120094299,0.45158836245536804,0.8938757181167603
10,0.03101702593266964,0.9864864945411682,0.4725046455860138,0.899011492729187
11,0.05352636054158211,0.9729729890823364,0.43566134572029114,0.8975798487663269
12,0.025964433327317238,0.9864864945411682,0.6455008387565613,0.8675605058670044
13,0.035119738429784775,0.9932432174682617,0.44845542311668396,0.8968526124954224
14,0.01614110916852951,0.9932432174682617,0.4327462315559387,0.9016247987747192
15,0.053228139877319336,0.9797297120094299,0.4970136880874634,0.8909214735031128
16,0.025647610425949097,0.9932432174682617,0.5019974708557129,0.8949664831161499
17,0.01591380685567856,0.9864864945411682,0.5228832364082336,0.8988524079322815
18,0.004806141369044781,1.0,0.5419213175773621,0.8946256041526794
19,0.01872643642127514,0.9932432174682617,0.6946133375167847,0.8703101873397827
20,0.020010044798254967,0.9932432174682617,0.6613549590110779,0.8816725611686707
